+--------------+-------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------+
| event number |                                                     name                                                    |                                           date                                           |                                                        location                                                        |                                      url                                       |
|      78      |                                               Resume Makeover                                               |                 From Wednesday, October 15, 2025 4:15 PM to 4:45 PM PDT                  |                                             Hybrid: Old Main 280 and Zoom                                              |                       https://win.wwu.edu/event/11527888                       |
|      79      |                                                   SpiceFul                                                  |                 From Thursday, October 16, 2025 11:00 AM to 1:00 PM PDT                  |                                               Food Hall @ Viking Commons                                               |                       https://win.wwu.edu/event/11365738                       |
|      80      |                                     Intramural 2v2 Spikeball Tournament                                     |                 From Thursday, October 16, 2025 6:00 PM to 10:00 PM PDT                  |                                                       Comm. Lawn                                                       |                       https://win.wwu.edu/event/11332292                       |
|      81      |                     Disability Action Month: UnConference Keynote Lecture and Reception                     |                  From Friday, October 17, 2025 11:00 AM to 1:00 PM PDT                   |                                                      Location TBA                                                      |                       https://win.wwu.edu/event/11477428                       |
|      82      |                           Save the Date: All-Industries Career and Internship Fair                          |                  From Friday, October 17, 2025 12:00 PM to 4:00 PM PDT                   |                                             Wade King Rec Center | MAC Gym                                             |                       https://win.wwu.edu/event/11341041                       |
|      83      |                                             Fall Family Weekend                                             |      From Friday, October 17, 2025 8:00 AM to Sunday, October 19, 2025 5:00 PM PDT       |                                                    WWU Main Campus                                                     |                       https://win.wwu.edu/event/11471667                       |
|      84      |                                                    Diwali                                                   |                  From Tuesday, October 21, 2025 11:00 AM to 1:00 PM PDT                  |                                               Food Hall @ Viking Commons                                               |                       https://win.wwu.edu/event/11365742                       |
|      85      |                                          Job & Internship Jumpstart                                         |                  From Tuesday, October 21, 2025 4:15 PM to 4:30 PM PDT                   |                                             Hybrid: Old Main 280 and Zoom                                              |                       https://win.wwu.edu/event/11527915                       |
|      86      |                                                    Diwali                                                   |                  From Tuesday, October 21, 2025 4:00 PM to 8:00 PM PDT                   |                                             The Eatery @ Ridgeway Commons                                              |                       https://win.wwu.edu/event/11365743                       |
|      87      |                                                 Comfort Kits                                                |                 From Wednesday, October 22, 2025 11:00 AM to 1:00 PM PDT                 |                                              Wilson Library/Zoe's Bagels                                               |                       https://win.wwu.edu/event/11365747                       |
|      88      |                                           Explore your Career Path                                          |                 From Wednesday, October 22, 2025 4:15 PM to 4:45 PM PDT                  |                                             Hybrid: Old Main 280 and Zoom                                              |                       https://win.wwu.edu/event/11527928                       |
|      89      |                          Disability Action Month: 15th Anniversary of the DOC Panel                         |                  From Thursday, October 23, 2025 5:00 PM to 6:30 PM PDT                  |                                 Multicultural Center Multi-Use Room (Viking Union 735)                                 |                       https://win.wwu.edu/event/11477432                       |
|      90      |                                               Resume Makeover                                               |                  From Tuesday, October 28, 2025 4:15 PM to 4:45 PM PDT                   |                                             Hybrid: Old Main 280 and Zoom                                              |                       https://win.wwu.edu/event/11527937                       |
|      91      |                                                Global Brunch                                                |                  From Tuesday, October 28, 2025 4:00 PM to 8:00 PM PDT                   |                                            Planet Eats @ Fairhaven Commons                                             |                       https://win.wwu.edu/event/11365754                       |
|      92      |                                              Boo-Union Pop-Ups                                              |                 From Wednesday, October 29, 2025 11:00 AM to 1:00 PM PDT                 |                                                      Viking Union                                                      |                       https://win.wwu.edu/event/11365761                       |
|      93      |                                          Cover Letter Crash Course                                          |                 From Wednesday, October 29, 2025 4:15 PM to 4:45 PM PDT                  |                                             Hybrid: Old Main 280 and Zoom                                              |                       https://win.wwu.edu/event/11527955                       |
|      94      |                         Disability Action Month: DOC 15th Anniversary Birthday Party                        |                 From Wednesday, October 29, 2025 4:00 PM to 6:00 PM PDT                  |                                    Disability Outreach Center (Wilson Library 165)                                     |                       https://win.wwu.edu/event/11477445                       |
|      95      |                                              Boo-Union Pop-Ups                                              |                 From Thursday, October 30, 2025 11:00 AM to 1:00 PM PDT                  |                                                      Viking Union                                                      |                       https://win.wwu.edu/event/11365762                       |
|      96      |                                              Boo-Union Pop-Ups                                              |                 From Thursday, October 30, 2025 11:00 AM to 1:00 PM PDT                  |                                                      Viking Union                                                      |                       https://win.wwu.edu/event/11365763                       |
|      97      |                                           Spooky Splash at the Rec                                          |                  From Thursday, October 30, 2025 4:00 PM to 7:00 PM PDT                  |                                       Wade King Student Recreation Center - Pool                                       |                       https://win.wwu.edu/event/11340590                       |
|      98      |                                Intramural 6v6 Halloween Dodgeball Tournament                                |                 From Thursday, October 30, 2025 6:00 PM to 10:00 PM PDT                  |                                     Wade King Student Recreation Center - MAC Gym                                      |                       https://win.wwu.edu/event/11332281                       |
|      99      |                                                 Pumpkin Fest                                                |                  From Friday, October 31, 2025 11:00 AM to 1:00 PM PDT                   |                                               Food Hall @ Viking Commons                                               |                       https://win.wwu.edu/event/11365771                       |
|     100      |                                                 Pumpkin Fest                                                |                   From Friday, October 31, 2025 4:00 PM to 8:00 PM PDT                   |                                            Planet Eats @ Fairhaven Commons                                             |                       https://win.wwu.edu/event/11365772                       |
|     101      |                                                 Pumpkin Fest                                                |                   From Friday, October 31, 2025 4:00 PM to 8:00 PM PDT                   |                                             The Eatery @ Ridgeway Commons                                              |                       https://win.wwu.edu/event/11365773                       |
|     102      |                 Disability Action Month: 15th Anniversary of the Disability Outreach Center                 |    From Tuesday, September 30, 2025 12:00 AM to Friday, October 31, 2025 11:45 PM PDT    |                                                         Varies                                                         |                       https://win.wwu.edu/event/11477409                       |
|     103      |                                              Dia De Los Muertos                                             |                 From Saturday, November 1, 2025 11:00 AM to 1:00 PM PDT                  |                                               Food Hall @ Viking Commons                                               |                       https://win.wwu.edu/event/11365776                       |
|     104      |                                              Dia De Los Muertos                                             |                   From Sunday, November 2, 2025 4:00 PM to 8:00 PM PST                   |                                             The Eatery @ Ridgeway Commons                                              |                       https://win.wwu.edu/event/11365777                       |
|     105      |                                        Native American Heritage Month                                       |                  From Tuesday, November 4, 2025 11:00 AM to 1:00 PM PST                  |                                               Food Hall @ Viking Commons                                               |                       https://win.wwu.edu/event/11365787                       |
|     106      |                                           Explore your Career Path                                          |                  From Tuesday, November 4, 2025 4:15 PM to 4:45 PM PST                   |                                             Hybrid: Old Main 280 and Zoom                                              |                       https://win.wwu.edu/event/11527966                       |
|     107      |                                          Job & Internship Jumpstart                                         |                 From Wednesday, November 5, 2025 4:15 PM to 4:45 PM PST                  |                                             Hybrid: Old Main 280 and Zoom                                              |                       https://win.wwu.edu/event/11527977                       |
|     108      |                                        Women & Non-Binary Climb Night                                       |                 From Wednesday, November 5, 2025 7:30 PM to 9:30 PM PST                  |                                  Wade King Student Recreation Center - Climbing Wall                                   |                       https://win.wwu.edu/event/11332232                       |
|     109      |                         Save the Date: Tech & Engineering Career and Internship Fair                        |                 From Thursday, November 6, 2025 11:00 AM to 2:00 PM PST                  |                                         Viking Union Multi-Purpose Room (MPR)                                          |                       https://win.wwu.edu/event/11341054                       |
|     110      |                                        Native American Heritage Month                                       |                  From Thursday, November 6, 2025 4:00 PM to 8:00 PM PST                  |                                            Planet Eats @ Fairhaven Commons                                             |                       https://win.wwu.edu/event/11365788                       |
|     111      |                                                Make a Splash                                                |                From Wednesday, November 12, 2025 11:00 AM to 1:00 PM PST                 |                                               Food Hall @ Viking Commons                                               |                       https://win.wwu.edu/event/11365801                       |
|     112      |                                        Native American Heritage Month                                       |                 From Thursday, November 13, 2025 4:00 PM to 8:00 PM PST                  |                                             The Eatery @ Ridgeway Commons                                              |                       https://win.wwu.edu/event/11365789                       |
|     113      |                                     Intramural 2v2 Pickleball Tournament                                    |                 From Thursday, November 13, 2025 6:00 PM to 10:00 PM PST                 |                                     Wade King Student Recreation Center - Court A                                      |                       https://win.wwu.edu/event/11332262                       |
|     114      |                                                   ThankFul                                                  |                 From Tuesday, November 18, 2025 11:00 AM to 1:00 PM PST                  |                                               Food Hall @ Viking Commons                                               |                       https://win.wwu.edu/event/11365802                       |
|     115      |                                                 Indulgefest                                                 |                 From Wednesday, November 19, 2025 4:00 PM to 8:00 PM PST                 |                                             The Eatery @ Ridgeway Commons                                              |                       https://win.wwu.edu/event/11365816                       |
|     116      |                                                Tis the Season                                               |                 From Thursday, November 20, 2025 4:00 PM to 8:00 PM PST                  |                                            Planet Eats @ Fairhaven Commons                                             |                       https://win.wwu.edu/event/11365839                       |
|     117      |                                             Late Night Breakfast                                            |                  From Tuesday, December 2, 2025 9:00 PM to 11:00 PM PST                  |                                               Food Hall @ Viking Commons                                               |                       https://win.wwu.edu/event/11365849                       |
|     118      |                                                Tis the Season                                               |                 From Wednesday, December 3, 2025 11:00 AM to 1:00 PM PST                 |                                               Food Hall @ Viking Commons                                               |                       https://win.wwu.edu/event/11365841                       |
|     119      |                                                Tis the Season                                               |                 From Wednesday, December 3, 2025 4:00 PM to 8:00 PM PST                  |                                             The Eatery @ Ridgeway Commons                                              |                       https://win.wwu.edu/event/11365840                       |
|     120      |                                        Women & Non-Binary Climb Night                                       |                 From Wednesday, December 3, 2025 7:30 PM to 9:30 PM PST                  |                                  Wade King Student Recreation Center - Climbing Wall                                   |                       https://win.wwu.edu/event/11332233                       |
|     121      |                                     Intramural 2v2 Badminton Tournament                                     |                 From Thursday, December 4, 2025 6:00 PM to 10:00 PM PST                  |                                     Wade King Student Recreation Center - Court A                                      |                       https://win.wwu.edu/event/11332264                       |
|     122      |                             Disability Community End of Fall Quarter Celebration                            |                   From Friday, December 5, 2025 4:30 PM to 6:00 PM PST                   |                                 Multicultural Center Multi-Use Room (Viking Union 735)                                 |                       https://win.wwu.edu/event/11477468                       |
+--------------+-------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------+
