+--------------+--------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+------------------------------------+
| event number |                                                           name                                                           |                                           date                                           |                                                        location                                                        |                url                 |
|      81      |                                                      Resume Clinic                                                       |                  From Tuesday, October 14, 2025 11:00 AM to 2:00 PM PDT                  |                                                    Haggard Hall 210                                                    | https://win.wwu.edu/event/11528134 |
|      82      |                                                Cover letter Crash Course                                                 |                  From Tuesday, October 14, 2025 4:15 PM to 4:45 PM PDT                   |                                             Hybrid: Old Main 280 and Zoom                                              | https://win.wwu.edu/event/11527862 |
|      83      |                                              Latin'e Heritage Month Special                                              |                  From Tuesday, October 14, 2025 4:00 PM to 8:00 PM PDT                   |                                            Planet Eats @ Fairhaven Commons                                             | https://win.wwu.edu/event/11365732 |
|      84      |                                                     Resume Makeover                                                      |                 From Wednesday, October 15, 2025 4:15 PM to 4:45 PM PDT                  |                                             Hybrid: Old Main 280 and Zoom                                              | https://win.wwu.edu/event/11527888 |
|      85      |                                                         SpiceFul                                                         |                 From Thursday, October 16, 2025 11:00 AM to 1:00 PM PDT                  |                                               Food Hall @ Viking Commons                                               | https://win.wwu.edu/event/11365738 |
|      86      |                                           Intramural 2v2 Spikeball Tournament                                            |                 From Thursday, October 16, 2025 6:00 PM to 10:00 PM PDT                  |                                                       Comm. Lawn                                                       | https://win.wwu.edu/event/11332292 |
|      87      |                           Disability Action Month: UnConference Keynote Lecture and Reception                            |                  From Friday, October 17, 2025 11:00 AM to 1:00 PM PDT                   |                                                      Location TBA                                                      | https://win.wwu.edu/event/11477428 |
|      88      |                                 Save the Date: All-Industries Career and Internship Fair                                 |                  From Friday, October 17, 2025 12:00 PM to 4:00 PM PDT                   |                                             Wade King Rec Center | MAC Gym                                             | https://win.wwu.edu/event/11341041 |
|      89      |                                                   Fall Family Weekend                                                    |      From Friday, October 17, 2025 8:00 AM to Sunday, October 19, 2025 5:00 PM PDT       |                                                    WWU Main Campus                                                     | https://win.wwu.edu/event/11471667 |
|      90      |                                                          Diwali                                                          |                  From Tuesday, October 21, 2025 11:00 AM to 1:00 PM PDT                  |                                               Food Hall @ Viking Commons                                               | https://win.wwu.edu/event/11365742 |
|      91      |                                                Job & Internship Jumpstart                                                |                  From Tuesday, October 21, 2025 4:15 PM to 4:30 PM PDT                   |                                             Hybrid: Old Main 280 and Zoom                                              | https://win.wwu.edu/event/11527915 |
